song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,artist_name,album_names,playlist
97,54,121890,0.223,0.645,0.165,0.803,3,0.164,-19.347,0,0.164,80.367,4,0.843,Bertholet,97,Lush Lofi
98,46,251560,0.175,0.923,0.498,0,6,0.0545,-8.363,0,0.364,139.032,4,0.849,TroutFresh,誤入奇途,Chinese Hip-Hop Stars
101,53,203500,0.0437,0.71,0.827,1.28E-05,0,0.0896,-5.244,1,0.032,110.003,4,0.833,WALLA,101,Epic Workout
101,53,203500,0.0437,0.71,0.827,1.28E-05,0,0.0896,-5.244,1,0.032,110.003,4,0.833,WALLA,101,Indie Sunshine
123,61,190280,0.0866,0.707,0.676,0,1,0.125,-5.578,1,0.176,95.027,4,0.93,Jess Glynne,Always In Between (Deluxe),Contemporary Blend
123,73,190280,0.0901,0.707,0.674,0,1,0.115,-5.578,1,0.177,95.02,4,0.928,Jess Glynne,123,Happy Hits!
123,73,190280,0.0901,0.707,0.674,0,1,0.115,-5.578,1,0.177,95.02,4,0.928,Jess Glynne,123,Wake Up Happy
333,47,222000,0.15,0.71,0.637,0.885,4,0.112,-9.239,1,0.0395,119.997,4,0.343,Ozoyo,333,Trap Instrumental Beats
426,44,298161,0.000733,0.448,0.59,0.39,7,0.337,-8.908,1,0.0296,142.485,3,0.476,Hana Vu,How Many Times Have You Driven By,Bedroom Pop
435,67,93840,0.00247,0.539,0.804,0.000185,10,0.463,-5.504,0,0.172,85.752,4,0.798,"Tyler, The Creator",435,Alternative Hip Hop
435,67,93840,0.00247,0.539,0.804,0.000185,10,0.463,-5.504,0,0.172,85.752,4,0.798,"Tyler, The Creator",435,Anti Pop
435,67,93840,0.00247,0.539,0.804,0.000185,10,0.463,-5.504,0,0.172,85.752,4,0.798,"Tyler, The Creator",435,Mind Right
745,64,227560,0.115,0.785,0.476,0.00165,1,0.092,-9.805,1,0.115,118.931,4,0.223,Vince Staples,Big Fish Theory,POLLEN
808,49,154921,0.00038,0.73,0.969,0.179,1,0.159,-4.34,1,0.118,127.968,4,0.259,TV Noise,808,EDM Workout
911,56,259346,0.243,0.72,0.666,5.79E-06,7,0.0872,-9.162,1,0.227,87.024,4,0.707,Wyclef Jean,The Ecleftic -2 Sides II A Book,All Out 00s
1234,15,202907,5.32E-05,0.558,0.953,0.000375,7,0.062,-4.705,1,0.0288,95,4,0.75,Emigrate,1234,Adrenaline Workout
1234,15,202907,5.32E-05,0.558,0.953,0.000375,7,0.062,-4.705,1,0.0288,95,4,0.75,Emigrate,1234,New Music Friday
1412,50,109090,0.303,0.914,0.245,0.482,4,0.107,-9.504,0,0.411,87.992,4,0.648,Afluen,ELASTIC CONSTANT.,Lush Lofi
1435,0,292373,0.0616,0.58,0.353,4.30E-05,0,0.128,-9.295,1,0.0265,141.987,4,0.242,Selfish Things,1435,You & Me
1901,66,193120,0.0588,0.607,0.835,4.71E-05,0,0.195,-5.427,1,0.0415,144.087,4,0.719,Phoenix,Wolfgang Amadeus Phoenix,Alternative 00s
1901,68,193106,0.0564,0.604,0.825,5.80E-05,0,0.192,-5.373,1,0.0429,144.085,4,0.707,Phoenix,Wolfgang Amadeus Phoenix,Epic Workout
1901,68,193106,0.0564,0.604,0.825,5.80E-05,0,0.192,-5.373,1,0.0429,144.085,4,0.707,Phoenix,Wolfgang Amadeus Phoenix,Power Run 145 BPM
1901,68,193106,0.0564,0.604,0.825,5.80E-05,0,0.192,-5.373,1,0.0429,144.085,4,0.707,Phoenix,Wolfgang Amadeus Phoenix,Rock Me UP!
1942,81,213080,0.0152,0.817,0.646,0,4,0.125,-5.12,0,0.249,162.898,4,0.835,G-Eazy,1942,Cali Fire
1942,81,213080,0.0152,0.817,0.646,0,4,0.125,-5.12,0,0.249,162.898,4,0.835,G-Eazy,1942,Get Turnt
1942,81,213080,0.0152,0.817,0.646,0,4,0.125,-5.12,0,0.249,162.898,4,0.835,G-Eazy,1942,Hip Hop Made Me
1942,49,213586,0.0202,0.821,0.629,0,4,0.0925,-5.125,0,0.271,162.973,4,0.816,G-Eazy,1942,NTC_ Gym Strong
1950,83,225133,0.648,0.6,0.535,4.70E-06,4,0.162,-7.043,1,0.107,71.912,4,0.269,King Princess,1950,Confidence Boost
1950,83,225133,0.648,0.6,0.535,4.70E-06,4,0.162,-7.043,1,0.107,71.912,4,0.269,King Princess,1950,Happy Hits!
1950,83,225133,0.648,0.6,0.535,4.70E-06,4,0.162,-7.043,1,0.107,71.912,4,0.269,King Princess,1950,Left of Center
1950,66,225906,0.653,0.559,0.53,4.30E-06,4,0.117,-7.131,1,0.0941,71.857,4,0.256,King Princess,Make My Bed,Now Hear This
1950,83,225133,0.648,0.6,0.535,4.70E-06,4,0.162,-7.043,1,0.107,71.912,4,0.269,King Princess,1950,Out Now
1950,83,225133,0.648,0.6,0.535,4.70E-06,4,0.162,-7.043,1,0.107,71.912,4,0.269,King Princess,1950,Pop Sauce
1950,83,225133,0.648,0.6,0.535,4.70E-06,4,0.162,-7.043,1,0.107,71.912,4,0.269,King Princess,1950,Soft Pop Hits
1950,83,225133,0.648,0.6,0.535,4.70E-06,4,0.162,-7.043,1,0.107,71.912,4,0.269,King Princess,1950,Women of Pop
1957,63,204213,0.663,0.388,0.595,5.58E-05,1,0.178,-9.799,1,0.0325,190.043,4,0.596,Milo Greene,Milo Greene,Happy Folk
1975,49,190360,0.641,0.66,0.407,1.22E-05,2,0.0622,-8.993,1,0.0613,119.934,4,0.324,Billy Raffoul,1975,Mellow Pop
1977,42,204036,0.00448,0.678,0.687,0.000419,2,0.0847,-7.206,1,0.0401,104.166,4,0.527,Ana Tijoux,1977,Made in Chile
1979,19,265893,0.0218,0.768,0.744,0.712,8,0.063,-11.267,1,0.0338,127.036,4,0.963,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,90s Acoustic
1979,54,284000,0.81,0.688,0.367,0,8,0.102,-7.469,1,0.027,119.969,4,0.213,High Dive Heart,Grunge Lullaby,Country Coffeehouse
1983,51,222560,0.000105,0.47,0.978,0,10,0.0994,-3.899,1,0.174,153.014,4,0.731,Neon Trees,Habits,Just Get Going! 155 BPM
1985,61,193000,0.000246,0.607,0.878,0,4,0.337,-4.422,1,0.0665,119.955,4,0.853,Bowling For Soup,A Hangover You Don't Deserve,Guilty Pleasures
1985,70,193000,0.000242,0.606,0.887,0,4,0.337,-4.404,1,0.0598,119.974,4,0.903,Bowling For Soup,A Hangover You Don't Deserve,Hella Good New Millenia Hits
1999,81,189000,0.0227,0.739,0.742,1.39E-06,7,0.229,-4.586,1,0.0329,124.016,4,0.659,Charli XCX,1999,Out Now
1999,81,189000,0.0227,0.739,0.742,1.39E-06,7,0.229,-4.586,1,0.0329,124.016,4,0.659,Charli XCX,1999,Pop Rising
1999,81,189000,0.0227,0.739,0.742,1.39E-06,7,0.229,-4.586,1,0.0329,124.016,4,0.659,Charli XCX,1999,Pop Royalty
1999,81,189000,0.0227,0.739,0.742,1.39E-06,7,0.229,-4.586,1,0.0329,124.016,4,0.659,Charli XCX,1999,Pop Sauce
1999,81,189000,0.0227,0.739,0.742,1.39E-06,7,0.229,-4.586,1,0.0329,124.016,4,0.659,Charli XCX,1999,Radio 1 Playlist (BBC)
1999,81,189000,0.0227,0.739,0.742,1.39E-06,7,0.229,-4.586,1,0.0329,124.016,4,0.659,Charli XCX,1999,Teen Party
1999,81,189000,0.0227,0.739,0.742,1.39E-06,7,0.229,-4.586,1,0.0329,124.016,4,0.659,Charli XCX,1999,Today's Top Hits
1999,81,189000,0.0227,0.739,0.742,1.39E-06,7,0.229,-4.586,1,0.0329,124.016,4,0.659,Charli XCX,1999,Tomorrow's Hits
1999,81,189000,0.0227,0.739,0.742,1.39E-06,7,0.229,-4.586,1,0.0329,124.016,4,0.659,Charli XCX,1999,Young & Free
2002,87,186986,0.0372,0.697,0.683,0,1,0.137,-2.881,0,0.117,96.133,4,0.603,Anne-Marie,2002,Happy Hits!
2002,85,186986,0.0372,0.697,0.683,0,1,0.137,-2.881,0,0.117,96.133,4,0.603,Anne-Marie,Speak Your Mind (Deluxe),Mega Hit Mix
2002,87,186986,0.0372,0.697,0.683,0,1,0.137,-2.881,0,0.117,96.133,4,0.603,Anne-Marie,2002,NTC_ Gym Strong
2002,85,186986,0.0372,0.697,0.683,0,1,0.137,-2.881,0,0.117,96.133,4,0.603,Anne-Marie,Speak Your Mind (Deluxe),Teen Party
2002,87,186986,0.0372,0.697,0.683,0,1,0.137,-2.881,0,0.117,96.133,4,0.603,Anne-Marie,2002,Wake Up Happy
2002,87,186986,0.0372,0.697,0.683,0,1,0.137,-2.881,0,0.117,96.133,4,0.603,Anne-Marie,2002,Women of Pop
24-Jul,61,221706,0.00241,0.615,0.74,0.00113,7,0.115,-4.662,0,0.0754,118.957,4,0.219,The Neighbourhood,Hard - EP,Wild Cards_ Winter Mix
07-Nov,75,213506,0.0128,0.747,0.705,0,9,0.126,-5.137,0,0.126,136.024,4,0.56,Beyoncé,BEYONCÉ [Platinum Edition],Spin Class
07-Nov,75,213506,0.0128,0.747,0.705,0,9,0.126,-5.137,0,0.126,136.024,4,0.56,Beyoncé,BEYONCÉ [Platinum Edition],Teen Party
"""40"" - Live Version 1983",1,225440,0.109,0.257,0.472,0.000945,8,0.829,-16.259,1,0.0399,143.517,4,0.286,U2,Under A Blood Red Sky,The '80s All Lined Up
"""45""",48,202493,0.000696,0.315,0.97,0,8,0.277,-4.709,1,0.102,178.068,4,0.423,The Gaslight Anthem,Handwritten,Punk Rock Workout
"""99""",67,199413,0.00598,0.552,0.804,0,8,0.111,-4.299,1,0.0303,95.98,4,0.714,Barns Courtney,“99”,Rockin' Vibes
"""Heroes"" - Single Version; 2014 Remastered Version",58,213813,0.016,0.502,0.681,0.107,7,0.102,-8.263,1,0.0276,112.16,4,0.584,David Bowie,"Legacy (The Very Best Of David Bowie, Deluxe)",All Out 70s
#CaixaGang,10,208484,0.612,0.697,0.907,0.282,3,0.0624,-5.13,1,0.092,98.953,4,0.542,AbJo,#VIBRA,NIKE RUNNING FASTEST MILE
#SELFIE,27,183750,0.0136,0.808,0.915,9.03E-06,0,0.0788,-3.277,1,0.233,127.984,4,0.647,The Chainsmokers,#SELFIE,Spin Class
$$$ - with Matt Ox,78,130403,0.0636,0.774,0.507,0,1,0.138,-6.952,0,0.065,140.067,4,0.508,XXXTENTACION,?,Most Necessary
$orries,62,214857,0.761,0.526,0.236,0.00387,2,0.126,-13.59,0,0.0955,103.401,4,0.299,Peachy!,$orries,Tender
& Down,0,258133,0.0473,0.619,0.629,0.227,1,0.314,-4.109,0,0.33,123.003,4,0.262,Boys Noize,Dubstep Electro Glitch,Ultimate Pump Up
&burn (with Vince Staples),28,179015,0.194,0.787,0.379,0.00131,9,0.099,-9.364,0,0.245,82.52,4,0.344,Billie Eilish,&burn (with Vince Staples),NTC_ Studio Sounds
(Don't Fear) The Reaper,76,308120,0.0029,0.333,0.927,0.000211,9,0.297,-8.55,0,0.0733,141.47,4,0.382,Blue Öyster Cult,Agents Of Fortune,70s Rock Anthems
(Don't Fear) The Reaper,19,308440,0.00125,0.368,0.928,0.00111,9,0.301,-8.369,0,0.0593,141.175,4,0.532,Blue Öyster Cult,Agents Of Fortune,All Out 70s
(Don't Fear) The Reaper,76,308120,0.0029,0.333,0.927,0.000211,9,0.297,-8.55,0,0.0733,141.47,4,0.382,Blue Öyster Cult,Agents Of Fortune,Alternative 70s
(I Can’t Get No) Satisfaction - Mono / Remastered,23,223440,0.0365,0.726,0.881,0.0352,2,0.172,-6.971,1,0.0332,136.327,4,0.926,The Rolling Stones,The Rolling Stones In Mono (Remastered 2016),All Out 60s
(I Can't Get No) Satisfaction,48,222746,0.00038,0.735,0.82,0.0572,2,0.0983,-8.554,1,0.0494,135.586,4,0.859,The Rolling Stones,Hot Rocks (1964-1971) [Remastered],60s Rock Anthems
(I Just) Died In Your Arms,69,280400,0.0158,0.625,0.726,0.000169,11,0.0625,-11.402,0,0.0444,124.945,4,0.507,Cutting Crew,Broadcast,80s Love Songs
(I Just) Died In Your Arms,72,278626,0.0119,0.632,0.727,7.64E-05,11,0.0678,-11.209,0,0.0438,124.919,4,0.499,Cutting Crew,The Best Of Cutting Crew,All Out 80s
(I Married a) Monster from Outer Space,31,211560,0.764,0.562,0.545,0.65,9,0.347,-14.392,0,0.0487,132.495,4,0.342,John Cooper Clarke,Disguise In Love,Alternative 70s
(If Loving You Is Wrong) I Don't Want To Be Right,32,185013,0.038,0.628,0.536,1.23E-05,4,0.115,-10.905,0,0.0324,74.862,4,0.704,Barbara Mandrell,Ultimate Collection: Barbara Mandrell,Country's Greatest Hits_  The '70's
(I've Had) The Time of My Life,21,289680,0.0476,0.697,0.665,0.00665,6,0.0796,-12.907,0,0.0412,108.535,4,0.485,Bill Medley,Dirty Dancing,80s Smash Hits
(I've Had) The Time of My Life,63,289066,0.0874,0.7,0.781,0.00342,6,0.059,-8.255,0,0.0507,108.695,4,0.385,Bill Medley,LOVE,All Out 80s
(Let Me Be Your) Teddy Bear,38,107186,0.83,0.628,0.399,0,0,0.353,-12.447,1,0.18,87.807,4,0.924,Elvis Presley,Elvis' Golden Records,Country's Greatest Hits_  The '50s
(Love Is Like A) Heat Wave,63,163053,0.459,0.624,0.61,0.00435,0,0.271,-9.186,0,0.0543,82.65,4,0.759,Martha Reeves & The Vandellas,Heat Wave,Happy Days
(Love Is Like A) Heat Wave - Single Version,13,165666,0.478,0.513,0.847,0.0272,5,0.343,-2.922,0,0.0535,82.967,4,0.817,Martha Reeves & The Vandellas,The Ultimate Collection: Martha Reeves & The Vandellas,Body & Soul
(Margie's At) The Lincoln Park Inn,33,198733,0.724,0.364,0.318,0.000234,2,0.151,-13.345,1,0.0308,131.155,3,0.525,Bobby Bare,(Margie's At) The Lincoln Park Inn,Country's Greatest Hits_  The '60s
(No One Knows Me) Like the Piano,67,218160,0.976,0.621,0.199,0.00186,10,0.107,-13.788,1,0.0344,128.905,4,0.178,Sampha,Process,Alternative 10s
(No One Knows Me) Like the Piano,19,218160,0.976,0.619,0.198,0.00191,10,0.104,-13.808,1,0.0344,128.998,4,0.179,Sampha,(No One Knows Me) Like the Piano,The Most Beautiful Songs in the World
(Sittin' On) The Dock Of The Bay,64,166826,0.726,0.486,0.312,1.59E-06,2,0.0601,-13.522,1,0.0533,205.917,4,0.598,Otis Redding,"Atlantic 60th: Soul, Sweat And Strut",Happy Days
(That's What You Get) For Lovin' Me,37,146133,0.664,0.608,0.684,2.94E-06,4,0.0897,-9.806,1,0.0419,89.074,4,0.873,Waylon Jennings,The Essential Waylon Jennings,Country's Greatest Hits_  The '60s
(There's Gotta Be) More To Life,56,200016,0.0917,0.58,0.922,0,1,0.189,-3.785,1,0.0958,89.841,4,0.649,Stacie Orrico,Stacie Orrico,Women of Pop
(There's) No Gettin' over Me,39,196293,0.549,0.599,0.47,2.47E-05,6,0.304,-10.477,0,0.0337,200.631,4,0.811,Ronnie Milsap,The Essential Ronnie Milsap,Country's Greatest Hits_  The '80s
(We Ain't Got) Nothin' Yet,7,134853,0.119,0.41,0.904,4.61E-05,0,0.078,-7.98,0,0.0537,148.597,4,0.832,The Blues Magoos,60's Gold,Alternative 60s
(We're Gonna) Rock Around The Clock - Single Version,55,134106,0.317,0.681,0.69,0.00018,7,0.24,-11.519,1,0.18,178.71,4,0.622,Bill Haley & His Comets,Bill Haley's Greatest Hits,All Out 50s
(What A) Wonderful World,71,125440,0.627,0.691,0.507,0,11,0.457,-10.23,1,0.0343,128.518,4,0.885,Sam Cooke,The Man Who Invented Soul,Feelin' Good
(What A) Wonderful World,71,125440,0.627,0.691,0.507,0,11,0.457,-10.23,1,0.0343,128.518,4,0.885,Sam Cooke,The Man Who Invented Soul,Happy Days
(What A) Wonderful World,71,125440,0.627,0.691,0.507,0,11,0.457,-10.23,1,0.0343,128.518,4,0.885,Sam Cooke,The Man Who Invented Soul,Have a Great Day!
(What A) Wonderful World - Remastered,31,125506,0.734,0.524,0.543,0,11,0.275,-9.889,1,0.0397,128.091,4,0.877,Sam Cooke,The Wonderful World Of Sam Cooke (Remastered),All Out 60s
(You Make Me Feel Like) A Natural Woman,62,229066,0.953,0.624,0.158,0.00135,9,0.112,-13.059,1,0.0289,85.492,3,0.303,Carole King,Tapestry,70s & 80s Acoustic
(You Make Me Feel Like) A Natural Woman,71,166812,0.213,0.65,0.323,0,0,0.187,-8.698,1,0.0283,110.962,3,0.276,Aretha Franklin,Lady Soul [w/bonus selections],ThrowbackThursday
(Your Love Keeps Lifting Me) Higher & Higher,73,181066,0.176,0.631,0.69,0,2,0.121,-6.676,1,0.0531,94.574,4,0.938,Jackie Wilson,The Ultimate Jackie Wilson,All Out 60s
(Your Love Keeps Lifting Me) Higher & Higher,73,181066,0.176,0.631,0.69,0,2,0.121,-6.676,1,0.0531,94.574,4,0.938,Jackie Wilson,The Ultimate Jackie Wilson,Body & Soul
(Your Love Keeps Lifting Me) Higher & Higher,73,181066,0.176,0.631,0.69,0,2,0.121,-6.676,1,0.0531,94.574,4,0.938,Jackie Wilson,The Ultimate Jackie Wilson,Feelin' Good
(Your Love Keeps Lifting Me) Higher & Higher,73,181066,0.176,0.631,0.69,0,2,0.121,-6.676,1,0.0531,94.574,4,0.938,Jackie Wilson,The Ultimate Jackie Wilson,Happy Days
(Your Love Keeps Lifting Me) Higher & Higher,73,181066,0.176,0.631,0.69,0,2,0.121,-6.676,1,0.0531,94.574,4,0.938,Jackie Wilson,The Ultimate Jackie Wilson,Have a Great Day!
... And The Hazy Sea,0,373546,0.0161,0.225,0.467,0.35,4,0.692,-7.867,1,0.0339,79.135,4,0.217,Cymbals Eat Guitars,Why There Are Mountains,Wa-oh-wa-oh!
...Baby One More Time,78,211066,0.202,0.759,0.699,0.000131,0,0.443,-5.745,0,0.0307,92.96,4,0.907,Britney Spears,...Baby One More Time (Digital Deluxe Version),All Out 90s
...Baby One More Time,78,211066,0.202,0.759,0.699,0.000131,0,0.443,-5.745,0,0.0307,92.96,4,0.907,Britney Spears,...Baby One More Time (Digital Deluxe Version),The Britney Body Workout
...Familiar Place,62,175777,0.0128,0.214,0.148,0.058,7,0.113,-17.775,1,0.037,46.591,4,0.0277,Lucy Dacus,No Burden,Your Favorite Coffeehouse
...Ready For It? - BloodPop® Remix,60,189508,0.111,0.581,0.839,0,7,0.104,-4.843,1,0.229,160.12,4,0.447,Taylor Swift,...Ready For It? (BloodPop® Remix),NTC_ Gym Strong
[That's What You Do] When You're In Love,34,184946,0.277,0.574,0.47,0,10,0.061,-13.137,1,0.0356,160.821,4,0.937,The Forester Sisters,The Forester Sisters,Country's Greatest Hits_  The '80s
+-,42,306115,0.393,0.709,0.614,0,6,0.125,-6.8,1,0.105,110.03,4,0.352,M.I. Abaga,A Study On Self Worth: Yxng Dxnzl,No Wahala
+1 (feat. Sam White) - Radio Edit,12,193280,0.113,0.767,0.807,0.0169,11,0.1,-3.824,0,0.0369,124.944,4,0.716,Martin Solveig,1,Motivation Mix
"+3 (feat. DJ Rashad, DJ Paypal & Nasty Nigel)",0,212546,0.0494,0.44,0.69,0.267,11,0.189,-7.493,0,0.121,160.043,4,0.358,Nick Hook,Relationships,Footwork Fever
00 (DOUBLE O),43,163279,0.0812,0.904,0.711,0,6,0.0842,-5.426,0,0.315,90.456,4,0.472,NO:EL,DOUBLEONOEL,K-Hip-Hop Beats
02-52-03,21,234133,1.29E-05,0.743,0.955,0.887,7,0.443,-8.395,1,0.0857,149.929,4,0.386,RP Boo,"Classics, Vol.1",Footwork Fever
079ME,76,211852,0.404,0.629,0.601,0,10,0.0582,-7.508,0,0.309,199.921,4,0.612,B Young,079ME,Afropop.csv
079ME,76,211852,0.404,0.629,0.601,0,10,0.0582,-7.508,0,0.309,199.921,4,0.612,B Young,079ME,Power Workout
079ME (Blinkie Remix),54,228240,0.38,0.745,0.853,0,10,0.261,-3.906,0,0.245,119.862,4,0.732,B Young,079ME (Blinkie Remix),Running Workout Goals
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",88,201526,0.165,0.792,0.895,0,1,0.0501,-3.112,0,0.0589,94.968,4,0.794,Sofia Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",100% LatinX
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",88,201526,0.165,0.792,0.895,0,1,0.0501,-3.112,0,0.0589,94.968,4,0.794,Sofia Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Latin Party Anthems
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",88,201526,0.165,0.792,0.895,0,1,0.0501,-3.112,0,0.0589,94.968,4,0.794,Sofia Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Latin Pride
"1, 2, 3!",67,205304,0.00396,0.687,0.805,2.09E-06,6,0.12,-4.668,1,0.0403,142.038,4,0.712,SEUNGRI,THE GREAT SEUNGRI,Fantastic K-Workout
10 2 10,26,202120,0.15,0.632,0.908,0,1,0.207,-4.499,1,0.1,114.003,4,0.258,Big Sean,Hall Of Fame (Deluxe),Clinically Cold
10 Feet Down,24,217106,0.0862,0.471,0.846,1.19E-05,5,0.271,-6.59,1,0.272,191.982,4,0.0717,NF,Perception,Wild Cards_ Winter Mix
10:15 Saturday Night,37,223773,0.00366,0.656,0.279,0.0282,0,0.0952,-17.282,1,0.13,174.1,4,0.325,The Cure,Three Imaginary Boys,Alternative 70s
"100 Days, 100 Nights",2,223213,0.529,0.445,0.57,0,9,0.373,-5.96,0,0.0321,109.246,4,0.674,Sharon Jones & The Dap-Kings,Pop Ladies,Retro Pop
100 Degrees (feat. Quinn XCII),0,251250,0.0206,0.712,0.904,0.000294,7,0.116,-4.144,1,0.0581,111.944,4,0.451,KOLAJ,100 Degrees (feat. Quinn XCII),Epic Workout
100 Miles and Running (ft. Wale & John Lindahl),78,353453,0.556,0.844,0.935,0,7,0.42,-3.585,1,0.0641,118.999,4,0.958,Logic,YSIV,Beats n' Bars
100 Miles and Running (ft. Wale & John Lindahl),78,353453,0.556,0.844,0.935,0,7,0.42,-3.585,1,0.0641,118.999,4,0.958,Logic,YSIV,Certified Gold
100 Miles and Running (ft. Wale & John Lindahl),78,353453,0.556,0.844,0.935,0,7,0.42,-3.585,1,0.0641,118.999,4,0.958,Logic,YSIV,Crowd Pleasers
100 Miles and Running (ft. Wale & John Lindahl),78,353453,0.556,0.844,0.935,0,7,0.42,-3.585,1,0.0641,118.999,4,0.958,Logic,YSIV,Hype Rhythm
100 Miles and Running (ft. Wale & John Lindahl),78,353453,0.556,0.844,0.935,0,7,0.42,-3.585,1,0.0641,118.999,4,0.958,Logic,YSIV,Rep The Set
100 Shots,67,264818,0.135,0.799,0.668,4.67E-06,8,0.0583,-5.244,1,0.249,134.005,4,0.153,Young Dolph,Bulletproof,Off the Strength
100% (feat. Tony Sunshine),38,230146,0.0572,0.78,0.772,0,7,0.082,-3.222,0,0.262,99.606,4,0.706,Big Pun,The Legacy: The Best Of Big Pun,Represent_ Puerto Rico
100% Feminista,48,199500,0.348,0.795,0.864,0,1,0.0717,-3.095,1,0.251,130.017,4,0.781,Mc Carol,Bandida,Represent_ Brazil
1000 (feat. T.I. & Trey Songz),41,254615,0.0118,0.64,0.602,0,10,0.192,-6.701,0,0.276,82.17,4,0.297,Tokyo Jetz,Bonafide,Fresh Out The Rapper
1000 Nights,63,240293,0.0315,0.594,0.709,0.0562,6,0.0738,-9.541,0,0.0377,90.001,4,0.587,FRENSHIP,1000 Nights,LA Pops
1000hp,54,226540,4.36E-05,0.52,0.948,1.41E-05,6,0.0525,-3.951,0,0.0515,92.091,4,0.471,Godsmack,1000hp,Adrenaline Workout
1017 (feat. Gucci Mane & Yung Mal),36,243252,0.466,0.813,0.593,0,1,0.185,-8.604,1,0.176,74.982,4,0.626,Asian Doll,So Icy Princess,Most Necessary
1017 (feat. Gucci Mane & Yung Mal),36,243252,0.466,0.813,0.593,0,1,0.185,-8.604,1,0.176,74.982,4,0.626,Asian Doll,So Icy Princess,New Music Friday
1017 (feat. Gucci Mane & Yung Mal),36,243252,0.466,0.813,0.593,0,1,0.185,-8.604,1,0.176,74.982,4,0.626,Asian Doll,So Icy Princess,Off the Strength
1017 (feat. Young Thug),40,180080,0.00368,0.879,0.388,0,1,0.108,-9.409,1,0.468,160.017,4,0.534,Gucci Mane,The Green Album,If It Wasn't For Gucci
11 Hours - Branchez Remix,69,156213,0.626,0.687,0.352,0.000151,8,0.133,-8.229,1,0.0759,122.955,4,0.155,Wet,11 Hours (Branchez Remix),Good Vibes
11 Hours - Branchez Remix,69,156213,0.626,0.687,0.352,0.000151,8,0.133,-8.229,1,0.0759,122.955,4,0.155,Wet,11 Hours (Branchez Remix),Left of Center
11:11 - Radio Edit,45,198204,0.00025,0.314,0.756,0.28,6,0.288,-5.875,1,0.0632,94.835,4,0.926,Dinosaur Pile-Up,11:11,Rock Your Body
11th Dimension,37,243706,0.00102,0.603,0.911,0.00985,6,0.0911,-3.883,0,0.0431,125.487,4,0.373,Julian Casablancas,11th Dimension,Indie Workout
151 Rum,77,156695,0.199,0.73,0.86,0.00182,7,0.322,-3.532,1,0.191,129.952,4,0.647,J.I.D,151 Rum,A1 Hip-Hop
151 Rum,77,156695,0.199,0.73,0.86,0.00182,7,0.322,-3.532,1,0.191,129.952,4,0.647,J.I.D,151 Rum,Anti Pop
151 Rum,77,156695,0.199,0.73,0.86,0.00182,7,0.322,-3.532,1,0.191,129.952,4,0.647,J.I.D,151 Rum,Beats n' Bars
151 Rum,77,156695,0.199,0.73,0.86,0.00182,7,0.322,-3.532,1,0.191,129.952,4,0.647,J.I.D,151 Rum,Global Viral 50
